striker,non_striker,runs
KMA Paul,JO Holder,0
DS Smith,KMA Paul,8
KMA Paul,DS Smith,1
KMA Paul,KOA Powell,12
KOA Powell,KMA Paul,12
SW Ambris,SO Hetmyer,22
SO Hetmyer,SW Ambris,37
SO Hetmyer,SO Dowrich,142
SO Dowrich,SO Hetmyer,81
JA Warrican,SO Dowrich,16
SO Dowrich,JA Warrican,18
SW Ambris,D Bishoo,9
D Bishoo,SW Ambris,2
KAJ Roach,SW Ambris,1
SW Ambris,KAJ Roach,5
SW Ambris,JA Warrican,21
JA Warrican,SW Ambris,41
ST Gabriel,SW Ambris,0
SW Ambris,ST Gabriel,1
SD Hope,SW Ambris,5
SW Ambris,SD Hope,11
JA Warrican,SH Lewis,1
SH Lewis,JA Warrican,0
SO Hetmyer,D Bishoo,31
D Bishoo,SO Hetmyer,12
SO Hetmyer,KAJ Roach,15
KAJ Roach,SO Hetmyer,11
JA Warrican,KAJ Roach,25
KAJ Roach,JA Warrican,26
KAJ Roach,SH Lewis,22
SH Lewis,KAJ Roach,20
RL Chase,KMA Paul,25
KMA Paul,RL Chase,59
D Bishoo,SH Lewis,0
SH Lewis,D Bishoo,0
KOA Powell,SW Ambris,0
SW Ambris,KOA Powell,0
SO Dowrich,KMA Paul,16
KMA Paul,SO Dowrich,24
SH Lewis,SO Dowrich,4
SO Dowrich,SH Lewis,3
JA Warrican,RL Chase,8
RL Chase,JA Warrican,7
JA Warrican,ST Gabriel,0
ST Gabriel,JA Warrican,0
SW Ambris,JO Holder,18
JO Holder,SW Ambris,19
D Bishoo,JA Warrican,10
JA Warrican,D Bishoo,7
JD Campbell,KC Brathwaite,282
KC Brathwaite,JD Campbell,132
SD Hope,DM Bravo,72
DM Bravo,SD Hope,73
JO Holder,SO Hetmyer,14
SO Hetmyer,JO Holder,42
SO Hetmyer,AS Joseph,25
AS Joseph,SO Hetmyer,0
SO Hetmyer,ST Gabriel,0
ST Gabriel,SO Hetmyer,0
JD Campbell,SD Hope,42
SD Hope,JD Campbell,22
