striker,non_striker,runs
SCJ Broad,C Overton,5
C Overton,JM Anderson,29
JM Anderson,C Overton,1
C Overton,JM Bairstow,7
JM Bairstow,C Overton,11
MD Stoneman,DJ Malan,13
DJ Malan,MD Stoneman,14
JM Vince,DJ Malan,26
DJ Malan,JM Vince,10
DJ Malan,CR Woakes,7
CR Woakes,DJ Malan,15
AN Cook,CR Woakes,42
CR Woakes,AN Cook,26
AN Cook,TK Curran,3
TK Curran,AN Cook,4
AN Cook,SCJ Broad,53
SCJ Broad,AN Cook,76
JM Anderson,AN Cook,106
AN Cook,JM Anderson,106
MM Ali,TK Curran,19
TK Curran,MM Ali,23
TK Curran,SCJ Broad,16
SCJ Broad,TK Curran,29
SCJ Broad,MS Crane,6
MS Crane,SCJ Broad,4
JM Anderson,MS Crane,0
MS Crane,JM Anderson,0
TK Curran,JM Bairstow,0
JM Bairstow,TK Curran,0
MS Crane,TK Curran,2
TK Curran,MS Crane,6
TK Curran,JM Anderson,17
JM Anderson,TK Curran,2
MD Stoneman,BA Stokes,2
BA Stokes,MD Stoneman,0
C Overton,MM Ali,0
MM Ali,C Overton,0
MJ Leach,JM Bairstow,36
JM Bairstow,MJ Leach,50
JC Buttler,DM Bess,72
DM Bess,JC Buttler,56
DM Bess,MA Wood,17
MA Wood,DM Bess,12
SCJ Broad,DM Bess,88
DM Bess,SCJ Broad,65
DM Bess,JM Anderson,21
JM Anderson,DM Bess,21
JE Root,DM Bess,18
DM Bess,JE Root,12
DM Bess,DJ Malan,28
DJ Malan,DM Bess,28
DM Bess,JM Bairstow,9
JM Bairstow,DM Bess,2
SM Curran,JC Buttler,126
JC Buttler,SM Curran,97
BA Stokes,SM Curran,43
SM Curran,BA Stokes,16
SM Curran,AU Rashid,100
AU Rashid,SM Curran,106
SM Curran,SCJ Broad,108
SCJ Broad,SM Curran,43
SM Curran,JM Anderson,83
JM Anderson,SM Curran,14
JE Root,OJ Pope,208
OJ Pope,JE Root,237
CR Woakes,SM Curran,36
SM Curran,CR Woakes,46
OJ Pope,BA Stokes,166
BA Stokes,OJ Pope,233
MM Ali,SM Curran,35
SM Curran,MM Ali,38
KK Jennings,RJ Burns,115
RJ Burns,KK Jennings,187
KK Jennings,BA Stokes,59
BA Stokes,KK Jennings,69
JC Buttler,BT Foakes,54
BT Foakes,JC Buttler,60
SM Curran,BT Foakes,68
BT Foakes,SM Curran,48
BT Foakes,AU Rashid,41
AU Rashid,BT Foakes,61
BT Foakes,MJ Leach,22
MJ Leach,BT Foakes,15
BT Foakes,JM Anderson,41
JM Anderson,BT Foakes,12
KK Jennings,JC Buttler,38
JC Buttler,KK Jennings,35
KK Jennings,BT Foakes,24
BT Foakes,KK Jennings,37
SM Curran,KK Jennings,0
KK Jennings,SM Curran,3
RJ Burns,BA Stokes,75
BA Stokes,RJ Burns,95
RJ Burns,JE Root,346
JE Root,RJ Burns,368
JC Buttler,RJ Burns,26
RJ Burns,JC Buttler,23
SM Curran,MJ Leach,2
MJ Leach,SM Curran,7
RJ Burns,MJ Leach,9
MJ Leach,RJ Burns,19
JE Root,BT Foakes,47
BT Foakes,JE Root,34
MM Ali,BT Foakes,69
BT Foakes,MM Ali,48
MM Ali,AU Rashid,14
AU Rashid,MM Ali,19
AU Rashid,MJ Leach,1
MJ Leach,AU Rashid,2
RJ Burns,JM Bairstow,31
JM Bairstow,RJ Burns,50
SCJ Broad,BT Foakes,1
BT Foakes,SCJ Broad,1
JJ Roy,RJ Burns,42
RJ Burns,JJ Roy,40
RJ Burns,JL Denly,237
JL Denly,RJ Burns,257
SM Curran,OP Stone,6
OP Stone,SM Curran,2
OP Stone,MJ Leach,17
MJ Leach,OP Stone,1
MJ Leach,JJ Roy,67
JJ Roy,MJ Leach,72
MJ Leach,JL Denly,7
JL Denly,MJ Leach,5
JL Denly,JE Root,203
JE Root,JL Denly,235
OP Stone,SCJ Broad,0
SCJ Broad,OP Stone,10
JJ Roy,JE Root,27
JE Root,JJ Roy,21
JC Archer,JM Bairstow,12
JM Bairstow,JC Archer,8
JL Denly,BA Stokes,163
BA Stokes,JL Denly,197
JL Denly,JM Bairstow,24
JM Bairstow,JL Denly,29
JC Buttler,JC Archer,22
